Source,Target,Weight,taxa,Status,n,lb,ub,log_ratio,edgeweight,edgeweightCol
Eggerthella_unclassified,Enterococcus_faecium,4.709259548937061,Eggerthella_unclassified / Enterococcus_faecium,FA,49,3.390666875234684,6.027852222639437,4.709259548937061,4.709259548937061,pos
Eggerthella_unclassified,Streptococcus_australis,4.522444790305235,Eggerthella_unclassified / Streptococcus_australis,FA,49,3.256160249019769,5.7887293315907,4.522444790305235,4.522444790305235,pos
Akkermansia_muciniphila,Clostridium_difficile,4.394546055677522,Akkermansia_muciniphila / Clostridium_difficile,FA,49,3.164073160087816,5.625018951267228,4.394546055677522,4.394546055677522,pos
Akkermansia_muciniphila,Alistipes_unclassified,4.026706320346033,Akkermansia_muciniphila / Alistipes_unclassified,FA,49,2.899228550649144,5.154184090042922,4.026706320346033,4.026706320346033,pos
Akkermansia_muciniphila,Alistipes_onderdonkii,3.771981028531991,Akkermansia_muciniphila / Alistipes_onderdonkii,FA,49,2.6258904552793414,4.668249698274385,3.6470700767768633,3.6470700767768633,pos
Akkermansia_muciniphila,Bacteroides_thetaiotaomicron,3.6470700767768633,Akkermansia_muciniphila / Bacteroides_thetaiotaomicron,FA,49,1.8227788448187106,3.2404957241221517,2.531637284470431,2.531637284470431,pos
Bacteroides_dorei,Erysipelotrichaceae_bacterium_6_1_45,3.315855630256353,Bacteroides_dorei / Erysipelotrichaceae_bacterium_6_1_45,FA,49,2.7158263405430336,4.828135716520948,3.771981028531991,3.771981028531991,pos
Bacteroides_dorei,Dorea_formicigenerans,3.1997852409608187,Bacteroides_dorei / Dorea_formicigenerans,FA,49,2.387416053784574,4.244295206728132,3.315855630256353,3.315855630256353,pos
Bacteroides_dorei,Granulicatella_unclassified,3.1561624759593934,Bacteroides_dorei / Granulicatella_unclassified,FA,49,2.3038453734917894,4.095725108429848,3.1997852409608187,3.1997852409608187,pos
Bacteroides_dorei,Ruminococcus_sp_5_1_39BFAA,3.1383944168949887,Bacteroides_dorei / Ruminococcus_sp_5_1_39BFAA,FA,49,2.1759977688857477,3.8684404780191075,3.0222191234524276,3.0222191234524276,pos
Bacteroides_dorei,Dorea_unclassified,3.0222191234524276,Bacteroides_dorei / Dorea_unclassified,FA,49,2.0313464042052196,3.6112824963648347,2.821314450285027,2.821314450285027,pos
Bacteroides_dorei,Lachnospiraceae_bacterium_2_1_58FAA,2.9755042193065084,Bacteroides_dorei / Lachnospiraceae_bacterium_2_1_58FAA,FA,49,1.8053968010589698,3.209594312993724,2.507495557026347,2.507495557026347,pos
Bacteroides_dorei,Eubacterium_rectale,2.873524658610978,Bacteroides_dorei / Eubacterium_rectale,FA,49,1.3076453764302238,2.3247028914315093,1.8161741339308666,1.8161741339308666,pos
Bacteroides_dorei,Roseburia_intestinalis,2.821314450285027,Bacteroides_dorei / Roseburia_intestinalis,FA,49,1.286568717787945,2.287233276067458,1.7869009969277014,1.7869009969277014,pos
Faecalibacterium_prausnitzii,Haemophilus_haemolyticus,2.7777573106446036,Faecalibacterium_prausnitzii / Haemophilus_haemolyticus,FA,49,2.2724369826907633,4.039887969228023,3.1561624759593934,3.1561624759593934,pos
Haemophilus_haemolyticus,Haemophilus_paraphrohaemolyticus,2.531637284470431,Haemophilus_haemolyticus / Haemophilus_paraphrohaemolyticus,FA,49,0.754341032828442,1.3410507250283414,1.0476958789283917,1.0476958789283917,pos
Haemophilus_haemolyticus,Streptococcus_parasanguinis,2.507495557026347,Haemophilus_haemolyticus / Streptococcus_parasanguinis,FA,49,-0.5025227114012181,-0.893373709157721,-0.6979482102794695,0.6979482102794695,neg
Clostridium_hathewayi,Enterococcus_faecium,2.3187224557497093,Clostridium_hathewayi / Enterococcus_faecium,FA,49,2.0689377541999043,3.6781115630220516,2.873524658610978,2.873524658610978,pos
Clostridium_hathewayi,Lachnospiraceae_bacterium_9_1_43BFAA,2.091447186376472,Clostridium_hathewayi / Lachnospiraceae_bacterium_9_1_43BFAA,FA,49,2.259643980164392,4.017144853625585,3.1383944168949887,3.1383944168949887,pos
Clostridium_hathewayi,Erysipelotrichaceae_bacterium_21_3,1.8161741339308666,Clostridium_hathewayi / Erysipelotrichaceae_bacterium_21_3,FA,49,2.142363037900686,3.8086454007123307,2.9755042193065084,2.9755042193065084,pos
Clostridium_hathewayi,Lactococcus_lactis,1.7869009969277014,Clostridium_hathewayi / Lactococcus_lactis,FA,49,1.6694801681397906,2.967964743359628,2.3187224557497093,2.3187224557497093,pos
Clostridium_hathewayi,Enterococcus_casseliflavus,1.4789783543726636,Clostridium_hathewayi / Enterococcus_casseliflavus,FA,49,1.50584197419106,2.677052398561884,2.091447186376472,2.091447186376472,pos
Clostridium_hathewayi,Enterococcus_faecalis,1.0476958789283917,Clostridium_hathewayi / Enterococcus_faecalis,FA,49,1.0648644151483178,1.8930922935970094,1.4789783543726636,1.4789783543726636,pos
Clostridium_hathewayi,Collinsella_aerofaciens,1.0147261554543003,Clostridium_hathewayi / Collinsella_aerofaciens,FA,49,0.6124525327444179,1.0888045026567428,0.8506285177005803,0.8506285177005803,pos
Clostridium_hathewayi,Lactobacillus_casei_paracasei,0.8506285177005803,Clostridium_hathewayi / Lactobacillus_casei_paracasei,FA,49,0.5205973740162376,0.9255064426955336,0.7230519083558856,0.7230519083558856,pos
Escherichia_unclassified,Haemophilus_haemolyticus,0.7230519083558856,Escherichia_unclassified / Haemophilus_haemolyticus,FA,49,1.9999852636641147,3.5555293576250926,2.7777573106446036,2.7777573106446036,pos
Eubacterium_eligens,Haemophilus_haemolyticus,0.27139882803128024,Eubacterium_eligens / Haemophilus_haemolyticus,FA,49,0.7306028319270963,1.2988494789815044,1.0147261554543003,1.0147261554543003,pos
Collinsella_aerofaciens,Veillonella_unclassified,0.17151766144578584,Collinsella_aerofaciens / Veillonella_unclassified,FA,49,-2.4453520479577953,-4.347292529702747,-3.3963222888302713,3.3963222888302713,neg
Anaerostipes_hadrus,Haemophilus_haemolyticus,0.4834014386671938,Anaerostipes_hadrus / Haemophilus_haemolyticus,FA,49,0.19540715618252177,0.3473904998800387,0.27139882803128024,0.27139882803128024,pos
Oscillibacter_unclassified,Streptococcus_salivarius,0.6979482102794695,Oscillibacter_unclassified / Streptococcus_salivarius,FA,49,-0.1234927162409658,-0.21954260665060588,-0.17151766144578584,0.17151766144578584,neg
Bacteroides_vulgatus,Veillonella_parvula,1.3156370963511106,Bacteroides_vulgatus / Veillonella_parvula,FA,49,-0.34804903584037955,-0.6187538414940081,-0.4834014386671938,0.4834014386671938,neg
